ville,pays,lat,lon,date_extraction,heure_extraction,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,EG,30.0444,31.2357,2025-12-16,00,2025-12-16T00:00:00+00:00,2,123.03,0.0,1.01,85.16,0.49,5.35,23.0,0.33
New York,US,40.7128,-74.006,2025-12-16,00,2025-12-16T00:00:00+00:00,1,197.11,0.0,16.44,50.98,5.12,3.68,5.47,1.16
Paris,FR,48.8566,2.3522,2025-12-16,00,2025-12-16T00:00:00+00:00,1,176.66,0.0,6.09,51.72,0.17,2.09,2.5,0.19
Sydney,AU,-33.8688,151.2093,2025-12-16,00,2025-12-16T00:00:00+00:00,1,58.75,0.15,0.88,31.85,0.54,2.26,8.14,0.07
Tokyo,JP,35.6762,139.6503,2025-12-16,00,2025-12-16T00:00:00+00:00,2,135.83,0.6,11.28,77.29,8.58,1.79,4.01,0.27
Antananarivo,MG,-18.8792,47.5079,2025-12-16,01,2025-12-16T01:00:00+00:00,1,61.89,0.0,0.13,26.06,0.07,0.85,1.8,0.18
Cairo,EG,30.0444,31.2357,2025-12-16,01,2025-12-16T01:00:00+00:00,2,122.58,0.0,0.94,83.35,0.47,5.55,23.62,0.3
New York,US,40.7128,-74.006,2025-12-16,01,2025-12-16T01:00:00+00:00,1,200.41,0.0,17.27,48.56,5.31,3.89,5.8,1.2
Paris,FR,48.8566,2.3522,2025-12-16,01,2025-12-16T01:00:00+00:00,1,177.94,0.0,6.13,49.65,0.15,2.2,2.63,0.19
Sydney,AU,-33.8688,151.2093,2025-12-16,01,2025-12-16T01:00:00+00:00,1,57.49,0.07,0.41,39.53,0.6,2.24,8.33,0.01
Tokyo,JP,35.6762,139.6503,2025-12-16,01,2025-12-16T01:00:00+00:00,2,136.7,1.37,10.8,78.29,8.6,1.82,4.07,0.29
Antananarivo,MG,-18.8792,47.5079,2025-12-16,02,2025-12-16T02:00:00+00:00,1,62.46,0.0,0.13,25.62,0.07,1.04,2.23,0.21
Cairo,EG,30.0444,31.2357,2025-12-16,02,2025-12-16T02:00:00+00:00,2,121.82,0.0,0.89,81.74,0.5,5.85,24.78,0.29
New York,US,40.7128,-74.006,2025-12-16,02,2025-12-16T02:00:00+00:00,1,203.19,0.0,17.64,47.27,5.37,4.09,6.05,1.19
Paris,FR,48.8566,2.3522,2025-12-16,02,2025-12-16T02:00:00+00:00,1,178.18,0.0,5.89,49.84,0.15,2.15,2.59,0.19
Sydney,AU,-33.8688,151.2093,2025-12-16,02,2025-12-16T02:00:00+00:00,1,57.36,0.06,0.35,40.95,0.67,2.25,8.69,0.03
Tokyo,JP,35.6762,139.6503,2025-12-16,02,2025-12-16T02:00:00+00:00,2,137.61,2.03,10.19,79.56,8.62,1.81,4.14,0.31
Antananarivo,MG,-18.8792,47.5079,2025-12-16,03,2025-12-16T03:00:00+00:00,1,63.5,0.0,0.15,25.02,0.08,1.23,2.68,0.25
Cairo,EG,30.0444,31.2357,2025-12-16,03,2025-12-16T03:00:00+00:00,2,121.34,0.0,0.87,80.37,0.57,6.24,26.24,0.3
New York,US,40.7128,-74.006,2025-12-16,03,2025-12-16T03:00:00+00:00,1,204.78,0.0,17.69,46.75,5.36,4.31,6.29,1.16
Paris,FR,48.8566,2.3522,2025-12-16,03,2025-12-16T03:00:00+00:00,1,177.13,0.0,5.18,53.19,0.16,1.91,2.31,0.2
Sydney,AU,-33.8688,151.2093,2025-12-16,03,2025-12-16T03:00:00+00:00,1,57.55,0.06,0.36,42.28,0.8,2.31,9.13,0.07
Tokyo,JP,35.6762,139.6503,2025-12-16,03,2025-12-16T03:00:00+00:00,2,138.28,2.33,9.52,81.2,8.51,1.98,4.41,0.3
Antananarivo,MG,-18.8792,47.5079,2025-12-16,04,2025-12-16T04:00:00+00:00,1,65.43,0.03,0.14,24.61,0.1,1.42,3.22,0.31
Cairo,EG,30.0444,31.2357,2025-12-16,04,2025-12-16T04:00:00+00:00,2,121.09,0.0,0.92,78.73,0.69,6.69,27.61,0.33
New York,US,40.7128,-74.006,2025-12-16,04,2025-12-16T04:00:00+00:00,1,210.14,0.0,18.22,45.8,5.22,4.75,6.8,1.2
Paris,FR,48.8566,2.3522,2025-12-16,04,2025-12-16T04:00:00+00:00,1,178.12,0.0,4.25,58.99,0.17,1.65,2.0,0.2
Sydney,AU,-33.8688,151.2093,2025-12-16,04,2025-12-16T04:00:00+00:00,1,58.07,0.07,0.39,44.13,0.94,2.42,9.6,0.1
Tokyo,JP,35.6762,139.6503,2025-12-16,04,2025-12-16T04:00:00+00:00,2,138.22,2.05,8.24,84.57,7.62,2.17,4.6,0.27
Antananarivo,MG,-18.8792,47.5079,2025-12-16,05,2025-12-16T05:00:00+00:00,1,67.17,0.05,0.15,25.28,0.12,1.53,3.56,0.36
Cairo,EG,30.0444,31.2357,2025-12-16,05,2025-12-16T05:00:00+00:00,2,122.18,0.0,1.17,77.07,0.98,7.21,28.74,0.39
New York,US,40.7128,-74.006,2025-12-16,05,2025-12-16T05:00:00+00:00,1,215.71,0.0,18.64,44.17,4.98,5.28,7.38,1.26
Paris,FR,48.8566,2.3522,2025-12-16,05,2025-12-16T05:00:00+00:00,1,180.8,0.0,4.07,59.97,0.17,1.62,1.96,0.2
Sydney,AU,-33.8688,151.2093,2025-12-16,05,2025-12-16T05:00:00+00:00,1,58.41,0.07,0.46,45.59,1.06,2.54,10.03,0.13
Tokyo,JP,35.6762,139.6503,2025-12-16,05,2025-12-16T05:00:00+00:00,2,136.0,1.33,6.67,88.12,6.03,2.25,4.52,0.22
Antananarivo,MG,-18.8792,47.5079,2025-12-16,06,2025-12-16T06:00:00+00:00,1,67.34,0.05,0.13,26.99,0.13,1.49,3.57,0.4
Cairo,EG,30.0444,31.2357,2025-12-16,06,2025-12-16T06:00:00+00:00,2,124.92,0.05,1.6,75.88,1.38,7.77,29.62,0.44
New York,US,40.7128,-74.006,2025-12-16,06,2025-12-16T06:00:00+00:00,1,217.29,0.0,18.08,43.43,4.83,5.73,7.87,1.28
Paris,FR,48.8566,2.3522,2025-12-16,06,2025-12-16T06:00:00+00:00,1,185.31,0.0,4.4,59.37,0.21,1.72,2.08,0.21
Sydney,AU,-33.8688,151.2093,2025-12-16,06,2025-12-16T06:00:00+00:00,1,58.72,0.06,0.58,46.66,1.19,2.68,10.45,0.16
Tokyo,JP,35.6762,139.6503,2025-12-16,06,2025-12-16T06:00:00+00:00,2,133.59,0.72,5.57,91.01,4.61,2.26,4.38,0.2
Antananarivo,MG,-18.8792,47.5079,2025-12-16,07,2025-12-16T07:00:00+00:00,1,64.77,0.03,0.1,30.36,0.12,1.12,2.62,0.3
Cairo,EG,30.0444,31.2357,2025-12-16,07,2025-12-16T07:00:00+00:00,2,127.57,0.29,1.79,76.12,1.89,8.42,30.6,0.52
New York,US,40.7128,-74.006,2025-12-16,07,2025-12-16T07:00:00+00:00,1,216.48,0.0,17.1,42.79,4.62,6.2,8.4,1.3
Paris,FR,48.8566,2.3522,2025-12-16,07,2025-12-16T07:00:00+00:00,1,189.26,0.0,5.06,58.21,0.25,1.84,2.25,0.22
Sydney,AU,-33.8688,151.2093,2025-12-16,07,2025-12-16T07:00:00+00:00,1,59.35,0.07,0.77,46.63,1.24,2.79,10.73,0.19
Tokyo,JP,35.6762,139.6503,2025-12-16,07,2025-12-16T07:00:00+00:00,2,132.64,0.26,5.52,92.72,3.78,2.18,4.25,0.2
Antananarivo,MG,-18.8792,47.5079,2025-12-16,08,2025-12-16T08:00:00+00:00,1,63.48,0.02,0.09,30.99,0.11,0.9,2.01,0.27
Cairo,EG,30.0444,31.2357,2025-12-16,08,2025-12-16T08:00:00+00:00,2,130.1,0.5,1.83,78.48,2.61,9.43,31.99,0.61
New York,US,40.7128,-74.006,2025-12-16,08,2025-12-16T08:00:00+00:00,1,213.29,0.0,15.69,42.84,4.38,6.65,8.89,1.33
Paris,FR,48.8566,2.3522,2025-12-16,08,2025-12-16T08:00:00+00:00,1,192.98,0.0,5.59,56.88,0.28,1.93,2.38,0.23
Sydney,AU,-33.8688,151.2093,2025-12-16,08,2025-12-16T08:00:00+00:00,1,59.65,0.08,0.95,45.33,1.2,2.84,10.75,0.2
Tokyo,JP,35.6762,139.6503,2025-12-16,08,2025-12-16T08:00:00+00:00,2,133.42,0.01,5.96,92.3,3.52,2.14,4.29,0.21
Antananarivo,MG,-18.8792,47.5079,2025-12-16,09,2025-12-16T09:00:00+00:00,1,62.75,0.01,0.09,31.06,0.1,0.82,1.73,0.25
Cairo,EG,30.0444,31.2357,2025-12-16,09,2025-12-16T09:00:00+00:00,2,131.78,0.56,1.81,83.84,3.45,10.77,33.5,0.61
New York,US,40.7128,-74.006,2025-12-16,09,2025-12-16T09:00:00+00:00,1,207.51,0.0,13.87,44.04,4.12,7.05,9.27,1.39
Paris,FR,48.8566,2.3522,2025-12-16,09,2025-12-16T09:00:00+00:00,1,196.71,0.07,5.91,55.54,0.3,2.01,2.5,0.23
Sydney,AU,-33.8688,151.2093,2025-12-16,09,2025-12-16T09:00:00+00:00,1,59.77,0.03,1.16,43.92,1.14,2.83,10.68,0.19
Tokyo,JP,35.6762,139.6503,2025-12-16,09,2025-12-16T09:00:00+00:00,2,136.71,0.0,6.23,90.51,3.68,2.21,4.56,0.23
Antananarivo,MG,-18.8792,47.5079,2025-12-16,10,2025-12-16T10:00:00+00:00,1,62.71,0.01,0.09,31.0,0.09,0.79,1.49,0.21
Cairo,EG,30.0444,31.2357,2025-12-16,10,2025-12-16T10:00:00+00:00,2,131.7,0.35,1.27,94.11,3.95,9.6,27.01,0.24
New York,US,40.7128,-74.006,2025-12-16,10,2025-12-16T10:00:00+00:00,1,202.87,0.0,12.55,45.18,3.89,7.47,9.66,1.46
Paris,FR,48.8566,2.3522,2025-12-16,10,2025-12-16T10:00:00+00:00,1,198.5,0.35,5.8,54.32,0.31,2.02,2.54,0.25
Sydney,AU,-33.8688,151.2093,2025-12-16,10,2025-12-16T10:00:00+00:00,1,59.3,0.0,1.28,41.03,0.99,2.79,10.44,0.17
Tokyo,JP,35.6762,139.6503,2025-12-16,10,2025-12-16T10:00:00+00:00,2,141.49,0.0,6.66,87.84,4.05,2.27,4.86,0.24
Antananarivo,MG,-18.8792,47.5079,2025-12-16,11,2025-12-16T11:00:00+00:00,1,63.19,0.01,0.09,30.32,0.08,0.85,1.37,0.19
Cairo,EG,30.0444,31.2357,2025-12-16,11,2025-12-16T11:00:00+00:00,2,132.04,0.28,1.22,97.01,4.13,8.97,23.2,0.18
New York,US,40.7128,-74.006,2025-12-16,11,2025-12-16T11:00:00+00:00,1,203.76,0.0,12.6,44.69,3.75,8.09,10.31,1.59
Paris,FR,48.8566,2.3522,2025-12-16,11,2025-12-16T11:00:00+00:00,1,198.33,0.57,5.53,53.41,0.31,1.96,2.51,0.31
Sydney,AU,-33.8688,151.2093,2025-12-16,11,2025-12-16T11:00:00+00:00,1,59.39,0.0,1.47,37.64,0.89,2.78,10.22,0.18
Tokyo,JP,35.6762,139.6503,2025-12-16,11,2025-12-16T11:00:00+00:00,2,146.62,0.0,7.18,84.49,4.55,2.3,5.03,0.26
Antananarivo,MG,-18.8792,47.5079,2025-12-16,12,2025-12-16T12:00:00+00:00,1,63.92,0.01,0.1,29.71,0.07,0.85,1.29,0.17
Cairo,EG,30.0444,31.2357,2025-12-16,12,2025-12-16T12:00:00+00:00,2,135.33,0.32,1.75,97.36,5.24,9.37,22.75,0.23
New York,US,40.7128,-74.006,2025-12-16,12,2025-12-16T12:00:00+00:00,1,216.62,0.01,15.37,41.71,3.78,9.14,11.72,1.88
Paris,FR,48.8566,2.3522,2025-12-16,12,2025-12-16T12:00:00+00:00,1,195.61,0.64,5.15,54.03,0.3,1.86,2.46,0.39
Sydney,AU,-33.8688,151.2093,2025-12-16,12,2025-12-16T12:00:00+00:00,1,59.89,0.0,1.79,34.7,0.89,2.8,10.09,0.21
Tokyo,JP,35.6762,139.6503,2025-12-16,12,2025-12-16T12:00:00+00:00,2,151.75,0.0,7.74,81.09,5.1,2.4,5.28,0.29
Antananarivo,MG,-18.8792,47.5079,2025-12-16,13,2025-12-16T13:00:00+00:00,1,64.69,0.01,0.12,28.74,0.07,0.83,1.22,0.17
Cairo,EG,30.0444,31.2357,2025-12-16,13,2025-12-16T13:00:00+00:00,2,141.6,0.34,2.84,96.78,6.55,9.93,23.67,0.38
New York,US,40.7128,-74.006,2025-12-16,13,2025-12-16T13:00:00+00:00,2,242.47,0.28,20.97,35.93,3.92,10.47,13.63,2.29
Paris,FR,48.8566,2.3522,2025-12-16,13,2025-12-16T13:00:00+00:00,1,191.88,0.53,4.55,58.61,0.28,1.79,2.6,0.42
Sydney,AU,-33.8688,151.2093,2025-12-16,13,2025-12-16T13:00:00+00:00,1,60.13,0.0,2.16,31.18,0.87,2.85,9.95,0.22
Tokyo,JP,35.6762,139.6503,2025-12-16,13,2025-12-16T13:00:00+00:00,2,155.95,0.0,7.93,78.62,5.4,2.55,5.61,0.29
Antananarivo,MG,-18.8792,47.5079,2025-12-16,14,2025-12-16T14:00:00+00:00,1,66.0,0.01,0.16,27.76,0.08,0.76,1.16,0.18
Cairo,EG,30.0444,31.2357,2025-12-16,14,2025-12-16T14:00:00+00:00,2,145.52,0.21,4.04,94.13,6.83,10.26,25.26,0.62
New York,US,40.7128,-74.006,2025-12-16,14,2025-12-16T14:00:00+00:00,2,273.57,4.67,22.72,35.87,4.23,11.93,15.82,2.69
Paris,FR,48.8566,2.3522,2025-12-16,14,2025-12-16T14:00:00+00:00,1,194.04,0.52,5.25,55.88,0.3,2.03,2.96,0.48
Sydney,AU,-33.8688,151.2093,2025-12-16,14,2025-12-16T14:00:00+00:00,1,60.11,0.0,2.29,27.15,0.76,2.93,9.79,0.23
Tokyo,JP,35.6762,139.6503,2025-12-16,14,2025-12-16T14:00:00+00:00,2,159.41,0.0,7.88,77.14,5.38,2.68,5.9,0.29
Antananarivo,MG,-18.8792,47.5079,2025-12-16,15,2025-12-16T15:00:00+00:00,1,66.75,0.0,0.21,27.11,0.08,0.69,1.06,0.18
Cairo,EG,30.0444,31.2357,2025-12-16,15,2025-12-16T15:00:00+00:00,2,147.84,0.04,4.75,92.16,6.01,10.54,26.81,0.82
New York,US,40.7128,-74.006,2025-12-16,15,2025-12-16T15:00:00+00:00,2,301.3,10.53,20.9,38.82,4.91,13.65,18.4,2.99
Paris,FR,48.8566,2.3522,2025-12-16,15,2025-12-16T15:00:00+00:00,1,196.74,0.39,6.39,52.33,0.31,2.27,3.28,0.52
Sydney,AU,-33.8688,151.2093,2025-12-16,15,2025-12-16T15:00:00+00:00,1,59.6,0.0,2.26,24.04,0.71,3.01,9.61,0.27
Tokyo,JP,35.6762,139.6503,2025-12-16,15,2025-12-16T15:00:00+00:00,2,161.82,0.0,7.64,76.63,5.08,2.74,5.99,0.28
Antananarivo,MG,-18.8792,47.5079,2025-12-16,16,2025-12-16T16:00:00+00:00,1,66.95,0.0,0.24,26.6,0.09,0.66,1.06,0.2
Cairo,EG,30.0444,31.2357,2025-12-16,16,2025-12-16T16:00:00+00:00,2,150.29,0.0,5.16,89.81,4.92,11.05,28.46,1.07
New York,US,40.7128,-74.006,2025-12-16,16,2025-12-16T16:00:00+00:00,2,319.89,13.83,20.28,41.64,5.9,15.82,21.3,2.99
Paris,FR,48.8566,2.3522,2025-12-16,16,2025-12-16T16:00:00+00:00,1,206.26,0.09,9.23,44.86,0.36,2.78,3.89,0.52
Sydney,AU,-33.8688,151.2093,2025-12-16,16,2025-12-16T16:00:00+00:00,1,58.74,0.0,2.3,21.2,0.72,3.11,9.4,0.32
Tokyo,JP,35.6762,139.6503,2025-12-16,16,2025-12-16T16:00:00+00:00,2,161.58,0.0,7.03,77.33,4.58,2.72,5.84,0.27
Antananarivo,MG,-18.8792,47.5079,2025-12-16,17,2025-12-16T17:00:00+00:00,1,67.6,0.0,0.25,26.65,0.09,0.63,1.12,0.21
Cairo,EG,30.0444,31.2357,2025-12-16,17,2025-12-16T17:00:00+00:00,2,153.96,0.0,5.8,86.59,4.13,11.81,30.55,1.34
New York,US,40.7128,-74.006,2025-12-16,17,2025-12-16T17:00:00+00:00,2,328.59,14.83,20.68,44.39,6.66,18.54,24.48,2.67
Paris,FR,48.8566,2.3522,2025-12-16,17,2025-12-16T17:00:00+00:00,1,223.04,0.01,13.06,35.13,0.42,3.69,4.93,0.46
Sydney,AU,-33.8688,151.2093,2025-12-16,17,2025-12-16T17:00:00+00:00,1,58.81,0.01,2.6,18.95,0.77,3.3,9.38,0.36
Tokyo,JP,35.6762,139.6503,2025-12-16,17,2025-12-16T17:00:00+00:00,2,160.05,0.0,6.19,79.04,4.08,2.7,5.67,0.25
Antananarivo,MG,-18.8792,47.5079,2025-12-16,18,2025-12-16T18:00:00+00:00,1,67.89,0.0,0.26,27.27,0.09,0.59,1.06,0.21
Cairo,EG,30.0444,31.2357,2025-12-16,18,2025-12-16T18:00:00+00:00,2,156.02,0.0,5.65,84.51,3.71,12.39,32.57,1.4
New York,US,40.7128,-74.006,2025-12-16,18,2025-12-16T18:00:00+00:00,2,335.63,14.38,22.27,47.49,7.2,22.06,28.27,2.14
Paris,FR,48.8566,2.3522,2025-12-16,18,2025-12-16T18:00:00+00:00,1,242.16,0.03,16.32,27.44,0.5,4.76,6.18,0.42
Sydney,AU,-33.8688,151.2093,2025-12-16,18,2025-12-16T18:00:00+00:00,1,59.61,0.01,3.06,17.25,0.84,3.54,9.47,0.39
Tokyo,JP,35.6762,139.6503,2025-12-16,18,2025-12-16T18:00:00+00:00,2,158.21,0.0,5.46,81.08,3.73,2.72,5.6,0.22
Antananarivo,MG,-18.8792,47.5079,2025-12-16,19,2025-12-16T19:00:00+00:00,1,67.58,0.0,0.25,28.11,0.09,0.55,0.95,0.2
Cairo,EG,30.0444,31.2357,2025-12-16,19,2025-12-16T19:00:00+00:00,2,155.32,0.0,5.1,81.93,3.85,12.57,34.13,1.33
New York,US,40.7128,-74.006,2025-12-16,19,2025-12-16T19:00:00+00:00,3,354.43,13.75,25.53,49.81,7.48,26.34,32.89,1.72
Paris,FR,48.8566,2.3522,2025-12-16,19,2025-12-16T19:00:00+00:00,1,258.86,0.07,18.65,21.12,0.57,5.85,7.45,0.46
Sydney,AU,-33.8688,151.2093,2025-12-16,19,2025-12-16T19:00:00+00:00,1,60.62,0.02,3.54,15.73,0.92,3.78,9.59,0.38
Tokyo,JP,35.6762,139.6503,2025-12-16,19,2025-12-16T19:00:00+00:00,2,157.18,0.0,5.25,82.13,3.68,2.78,5.58,0.21
Antananarivo,MG,-18.8792,47.5079,2025-12-16,20,2025-12-16T20:00:00+00:00,1,66.78,0.0,0.24,29.01,0.08,0.51,0.84,0.19
Cairo,EG,30.0444,31.2357,2025-12-16,20,2025-12-16T20:00:00+00:00,2,155.09,0.0,5.01,79.76,4.72,12.45,35.35,1.31
New York,US,40.7128,-74.006,2025-12-16,20,2025-12-16T20:00:00+00:00,3,375.31,12.42,30.68,46.99,7.28,29.69,36.46,1.54
Paris,FR,48.8566,2.3522,2025-12-16,20,2025-12-16T20:00:00+00:00,1,277.35,0.13,20.43,16.06,0.62,6.94,8.73,0.53
Sydney,AU,-33.8688,151.2093,2025-12-16,20,2025-12-16T20:00:00+00:00,1,63.25,0.62,3.41,15.5,1.14,4.05,9.94,0.39
Tokyo,JP,35.6762,139.6503,2025-12-16,20,2025-12-16T20:00:00+00:00,2,157.08,0.0,5.32,82.43,3.83,2.84,5.53,0.2
Antananarivo,MG,-18.8792,47.5079,2025-12-16,21,2025-12-16T21:00:00+00:00,1,65.12,0.0,0.22,29.96,0.07,0.5,0.68,0.17
Cairo,EG,30.0444,31.2357,2025-12-16,21,2025-12-16T21:00:00+00:00,2,154.32,0.0,5.29,77.12,6.08,12.02,35.8,1.31
New York,US,40.7128,-74.006,2025-12-16,21,2025-12-16T21:00:00+00:00,3,393.08,8.75,39.28,38.77,7.22,30.87,37.63,1.58
Paris,FR,48.8566,2.3522,2025-12-16,21,2025-12-16T21:00:00+00:00,1,295.58,0.26,21.8,11.57,0.67,8.07,9.96,0.63
Sydney,AU,-33.8688,151.2093,2025-12-16,21,2025-12-16T21:00:00+00:00,1,67.53,2.06,2.64,17.51,1.6,4.41,10.48,0.48
Tokyo,JP,35.6762,139.6503,2025-12-16,21,2025-12-16T21:00:00+00:00,2,157.29,0.0,5.48,82.63,4.06,2.91,5.48,0.18
Antananarivo,MG,-18.8792,47.5079,2025-12-16,22,2025-12-16T22:00:00+00:00,1,63.73,0.0,0.2,30.89,0.06,0.5,0.58,0.16
Cairo,EG,30.0444,31.2357,2025-12-16,22,2025-12-16T22:00:00+00:00,2,153.58,0.0,5.56,74.02,7.3,11.56,35.76,1.31
New York,US,40.7128,-74.006,2025-12-16,22,2025-12-16T22:00:00+00:00,3,413.48,1.31,54.44,22.88,7.18,30.95,37.62,1.78
Paris,FR,48.8566,2.3522,2025-12-16,22,2025-12-16T22:00:00+00:00,1,307.2,0.45,22.65,7.69,0.64,8.99,10.84,0.69
Sydney,AU,-33.8688,151.2093,2025-12-16,22,2025-12-16T22:00:00+00:00,1,68.43,1.77,3.41,35.71,3.88,4.84,11.52,0.39
Tokyo,JP,35.6762,139.6503,2025-12-16,22,2025-12-16T22:00:00+00:00,2,157.08,0.0,5.9,82.57,4.47,2.98,5.49,0.18
Antananarivo,MG,-18.8792,47.5079,2025-12-16,23,2025-12-16T23:00:00+00:00,1,62.83,0.0,0.19,31.68,0.05,0.5,0.54,0.15
Cairo,EG,30.0444,31.2357,2025-12-16,23,2025-12-16T23:00:00+00:00,2,154.52,0.0,5.89,70.45,7.65,11.63,36.12,1.36
New York,US,40.7128,-74.006,2025-12-16,23,2025-12-16T23:00:00+00:00,3,439.76,0.91,59.16,17.15,7.06,31.57,38.23,2.03
Paris,FR,48.8566,2.3522,2025-12-16,23,2025-12-16T23:00:00+00:00,1,314.42,0.59,23.09,5.11,0.51,9.54,11.14,0.7
Sydney,AU,-33.8688,151.2093,2025-12-16,23,2025-12-16T23:00:00+00:00,1,67.78,1.36,2.8,44.94,3.81,5.08,11.33,0.35
Tokyo,JP,35.6762,139.6503,2025-12-16,23,2025-12-16T23:00:00+00:00,2,157.99,0.09,7.32,83.1,4.93,3.06,5.57,0.19
Antananarivo,MG,-18.8792,47.5079,2025-12-17,00,2025-12-17T00:00:00+00:00,1,62.16,0.0,0.18,32.24,0.05,0.5,0.52,0.15
Cairo,EG,30.0444,31.2357,2025-12-17,00,2025-12-17T00:00:00+00:00,2,155.47,0.0,6.16,67.1,7.48,12.17,37.26,1.4
New York,US,40.7128,-74.006,2025-12-17,00,2025-12-17T00:00:00+00:00,3,456.75,1.19,60.51,14.0,6.81,32.23,38.88,2.21
Paris,FR,48.8566,2.3522,2025-12-17,00,2025-12-17T00:00:00+00:00,1,319.8,0.65,23.18,3.56,0.43,9.86,11.23,0.74
Sydney,AU,-33.8688,151.2093,2025-12-17,00,2025-12-17T00:00:00+00:00,1,67.71,0.83,2.11,55.97,3.7,6.02,11.98,0.35
Tokyo,JP,35.6762,139.6503,2025-12-17,00,2025-12-17T00:00:00+00:00,2,159.14,0.53,7.92,84.53,5.29,3.15,5.63,0.21
Antananarivo,MG,-18.8792,47.5079,2025-12-17,01,2025-12-17T01:00:00+00:00,1,61.9,0.0,0.18,32.46,0.05,0.5,0.52,0.15
Cairo,EG,30.0444,31.2357,2025-12-17,01,2025-12-17T01:00:00+00:00,2,155.18,0.0,6.29,62.97,6.68,12.94,38.43,1.4
New York,US,40.7128,-74.006,2025-12-17,01,2025-12-17T01:00:00+00:00,3,451.96,0.96,57.68,13.21,6.5,31.52,37.84,2.19
Paris,FR,48.8566,2.3522,2025-12-17,01,2025-12-17T01:00:00+00:00,1,317.82,0.63,22.4,2.86,0.38,9.89,11.13,0.72
Sydney,AU,-33.8688,151.2093,2025-12-17,01,2025-12-17T01:00:00+00:00,2,68.54,0.41,1.33,67.44,3.37,7.02,12.68,0.32
Tokyo,JP,35.6762,139.6503,2025-12-17,01,2025-12-17T01:00:00+00:00,2,158.27,0.89,7.0,87.09,5.18,3.12,5.5,0.21
Antananarivo,MG,-18.8792,47.5079,2025-12-17,02,2025-12-17T02:00:00+00:00,1,61.89,0.0,0.19,31.91,0.05,0.5,0.51,0.16
Cairo,EG,30.0444,31.2357,2025-12-17,02,2025-12-17T02:00:00+00:00,2,155.29,0.0,6.3,59.36,5.61,14.07,40.27,1.3
New York,US,40.7128,-74.006,2025-12-17,02,2025-12-17T02:00:00+00:00,3,428.86,0.37,52.31,16.03,6.36,29.72,35.36,2.0
Paris,FR,48.8566,2.3522,2025-12-17,02,2025-12-17T02:00:00+00:00,2,315.21,0.54,21.42,2.86,0.29,10.02,11.25,0.57
Sydney,AU,-33.8688,151.2093,2025-12-17,02,2025-12-17T02:00:00+00:00,2,68.98,0.23,0.88,74.18,3.07,7.38,12.86,0.32
Tokyo,JP,35.6762,139.6503,2025-12-17,02,2025-12-17T02:00:00+00:00,2,156.63,0.9,5.45,90.58,4.47,3.21,5.4,0.17
Antananarivo,MG,-18.8792,47.5079,2025-12-17,03,2025-12-17T03:00:00+00:00,1,62.32,0.0,0.2,31.19,0.05,0.5,0.52,0.17
Cairo,EG,30.0444,31.2357,2025-12-17,03,2025-12-17T03:00:00+00:00,2,155.41,0.0,6.14,56.8,4.64,15.43,42.79,1.05
New York,US,40.7128,-74.006,2025-12-17,03,2025-12-17T03:00:00+00:00,3,393.16,0.09,44.3,21.95,6.2,27.07,31.88,1.78
Paris,FR,48.8566,2.3522,2025-12-17,03,2025-12-17T03:00:00+00:00,2,311.83,0.45,20.56,3.12,0.23,10.22,11.47,0.44
Sydney,AU,-33.8688,151.2093,2025-12-17,03,2025-12-17T03:00:00+00:00,2,69.6,0.17,0.71,78.76,3.01,7.82,13.47,0.34
Tokyo,JP,35.6762,139.6503,2025-12-17,03,2025-12-17T03:00:00+00:00,2,155.62,0.69,3.87,95.17,3.59,3.77,5.76,0.11
Antananarivo,MG,-18.8792,47.5079,2025-12-17,04,2025-12-17T04:00:00+00:00,1,63.72,0.01,0.23,30.25,0.07,0.5,0.66,0.21
Cairo,EG,30.0444,31.2357,2025-12-17,04,2025-12-17T04:00:00+00:00,2,154.29,0.0,5.88,55.14,3.91,16.68,45.26,0.8
New York,US,40.7128,-74.006,2025-12-17,04,2025-12-17T04:00:00+00:00,2,337.29,0.01,32.85,31.33,5.9,22.92,26.71,1.56
Paris,FR,48.8566,2.3522,2025-12-17,04,2025-12-17T04:00:00+00:00,2,306.39,0.37,19.74,3.49,0.21,10.29,11.69,0.38
Sydney,AU,-33.8688,151.2093,2025-12-17,04,2025-12-17T04:00:00+00:00,2,71.11,0.15,0.71,83.67,3.2,8.66,15.0,0.34
Tokyo,JP,35.6762,139.6503,2025-12-17,04,2025-12-17T04:00:00+00:00,3,159.78,0.45,2.84,102.2,2.95,4.78,6.64,0.06
Antananarivo,MG,-18.8792,47.5079,2025-12-17,05,2025-12-17T05:00:00+00:00,1,65.26,0.02,0.25,29.61,0.09,0.5,0.88,0.24
Cairo,EG,30.0444,31.2357,2025-12-17,05,2025-12-17T05:00:00+00:00,2,153.58,0.0,5.54,55.32,3.63,17.59,47.17,0.6
New York,US,40.7128,-74.006,2025-12-17,05,2025-12-17T05:00:00+00:00,2,286.14,0.0,22.99,38.84,5.18,19.06,21.97,1.46
Paris,FR,48.8566,2.3522,2025-12-17,05,2025-12-17T05:00:00+00:00,2,306.77,0.42,19.69,3.44,0.23,10.74,12.26,0.39
Sydney,AU,-33.8688,151.2093,2025-12-17,05,2025-12-17T05:00:00+00:00,2,71.77,0.16,0.79,87.88,3.53,9.56,17.13,0.35
